first_seen,EMITENT_ID,EMITENT_TITLE
2026-02-21,9700,"Общество с ограниченной ответственностью ""Ситиматик - Югра"""
2026-02-21,11667,"Общество с ограниченной ответственностью ""Славянск ЭКО"""
2026-02-21,14732,"Общество с ограниченной ответственностью ""СмартФакт"""
2026-02-21,9117,"Общество с ограниченной ответственностью ""Совкомбанк Лизинг"""
2026-02-21,14497,"Общество с ограниченной ответственностью ""Совкомбанк Факторинг"""
2026-02-21,9655,"Общество с ограниченной ответственностью ""Солид-Лизинг"""
2026-02-21,11490,"Общество с ограниченной ответственностью ""Специализированное общество проектного финансирования ДОМ.РФ"""
2026-02-21,9733,"Общество с ограниченной ответственностью ""Специализированное общество проектного финансирования Фабрика проектного финансирования"""
2026-02-21,9343,"Общество с ограниченной ответственностью ""Специализированное финансовое общество ""Локосервис финанс"""
2026-02-21,10912,"Общество с ограниченной ответственностью ""Специализированное финансовое общество ""Социального развития"""
2026-02-21,13808,"Общество с ограниченной ответственностью ""Специализированное финансовое общество Альта"""
2026-02-21,16512,"Общество с ограниченной ответственностью ""Специализированное финансовое общество Альфа Фабрика ПК-1"""
2026-02-21,17175,"Общество с ограниченной ответственностью ""Специализированное финансовое общество Альфа Фабрика ПК-2"""
2026-02-21,10656,"Общество с ограниченной ответственностью ""Специализированное финансовое общество БКС Структурные Ноты"""
2026-02-21,15986,"Общество с ограниченной ответственностью ""Специализированное финансовое общество ВСМ Инвест - Первый"""
2026-02-21,13865,"Общество с ограниченной ответственностью ""Специализированное финансовое общество ВТБ РКС Эталон"""
2026-02-21,11361,"Общество с ограниченной ответственностью ""Специализированное финансовое общество ВТБ РКС-1"""
2026-02-21,16164,"Общество с ограниченной ответственностью ""Специализированное финансовое общество ГПБ-СПК"""
2026-02-21,11265,"Общество с ограниченной ответственностью ""Специализированное финансовое общество МОС МСП 6"""
2026-02-21,11454,"Общество с ограниченной ответственностью ""Специализированное финансовое общество Международные Облигации"""
2026-02-21,16292,"Общество с ограниченной ответственностью ""Специализированное финансовое общество Неро"""
2026-02-21,15187,"Общество с ограниченной ответственностью ""Специализированное финансовое общество Оптимум Финанс"""
